6139.0,1710.0,4143.0,6515.0,4361.0,5544.0,5651.0,5040.0,4695.0,3091.0,4846.0,2784.0,5829.0,5798.0,4533.0,51.0,3147.0,5265.0,4020.0,5255.0,6013.0,3414.0,5221.0,5598.0,6123.0,5977.0,5379.0,4378.0,903.0,2636.0
146.0,72.0,200.0,7930.0,114.0,4986.0,5405.0,95.0,108.0,72.0,203.0,92.0,133.0,71.0,102.0,51.0,61.0,3399.0,7300.0,130.0,193.0,84.0,65.0,171.0,7876.0,206.0,3695.0,111.0,78.0,92.0
3478.0,4012.0,3843.0,6568.0,1620.0,5407.0,5297.0,2653.0,4382.0,272.0,984.0,3614.0,3826.0,1465.0,2247.0,51.0,6212.0,3833.0,5150.0,5047.0,4604.0,1699.0,1029.0,3471.0,7370.0,7713.0,2817.0,2046.0,162.0,2085.0
170.0,72.0,1997.0,3665.0,191.0,4804.0,5559.0,95.0,192.0,72.0,189.0,227.0,185.0,146.0,120.0,51.0,61.0,4578.0,170.0,180.0,5083.0,223.0,65.0,4225.0,7284.0,227.0,205.0,178.0,80.0,108.0
170.0,72.0,299.0,328.0,151.0,2152.0,3624.0,95.0,336.0,72.0,187.0,262.0,133.0,106.0,160.0,51.0,61.0,258.0,170.0,181.0,1528.0,309.0,65.0,401.0,343.0,222.0,281.0,178.0,80.0,202.0
171.0,101.0,163.0,3597.0,97.0,4809.0,453.0,146.0,108.0,72.0,116.0,121.0,172.0,9536.0,99.0,51.0,81.0,195.0,220.0,130.0,8262.0,83.0,65.0,203.0,198.0,222.0,2073.0,111.0,80.0,97.0
260.0,177.0,3651.0,2857.0,308.0,3876.0,6799.0,213.0,178.0,188.0,335.0,121.0,320.0,304.0,374.0,51.0,60.0,2965.0,734.0,184.0,253.0,3436.0,68.0,371.0,6230.0,306.0,306.0,105.0,156.0,95.0
170.0,72.0,299.0,328.0,151.0,1142.0,2256.0,95.0,336.0,72.0,187.0,262.0,133.0,106.0,160.0,51.0,61.0,258.0,170.0,181.0,1160.0,309.0,65.0,404.0,343.0,222.0,281.0,178.0,80.0,202.0
5848.0,5298.0,5880.0,6145.0,6152.0,5883.0,5569.0,5123.0,5722.0,4264.0,6333.0,4064.0,5807.0,5984.0,5052.0,52.0,5509.0,6149.0,5838.0,6377.0,5153.0,5664.0,5126.0,6192.0,6748.0,5297.0,5187.0,6747.0,3395.0,5435.0
4212.0,2044.0,4983.0,5515.0,4055.0,5493.0,7528.0,5979.0,4428.0,4058.0,6354.0,3456.0,6139.0,6460.0,5199.0,51.0,2516.0,5177.0,4717.0,5525.0,6964.0,6685.0,3818.0,5511.0,6390.0,6904.0,8054.0,4879.0,168.0,2603.0
171.0,118.0,163.0,3364.0,97.0,7596.0,453.0,146.0,108.0,72.0,116.0,121.0,161.0,9322.0,99.0,51.0,81.0,3346.0,220.0,130.0,6626.0,83.0,65.0,203.0,198.0,222.0,2654.0,111.0,80.0,97.0
142.0,72.0,273.0,7724.0,185.0,244.0,4221.0,95.0,178.0,72.0,155.0,300.0,182.0,71.0,99.0,51.0,61.0,227.0,215.0,139.0,252.0,84.0,65.0,171.0,310.0,204.0,230.0,111.0,78.0,105.0
6426.0,2032.0,4923.0,5486.0,3638.0,6531.0,5410.0,4584.0,3294.0,2320.0,4784.0,3573.0,4564.0,3059.0,5592.0,197.0,2366.0,6895.0,5434.0,5560.0,5693.0,4296.0,2873.0,4621.0,6735.0,6287.0,6013.0,1988.0,3222.0,5830.0
147.0,72.0,284.0,277.0,114.0,572.0,258.0,95.0,126.0,72.0,158.0,92.0,167.0,71.0,99.0,51.0,61.0,229.0,283.0,130.0,400.0,84.0,65.0,171.0,309.0,232.0,324.0,111.0,78.0,92.0
6585.0,2386.0,3841.0,4523.0,3722.0,4878.0,4753.0,3578.0,3708.0,2246.0,5436.0,4313.0,5037.0,4243.0,4259.0,197.0,2793.0,5969.0,7160.0,5450.0,4158.0,4745.0,2322.0,4605.0,6104.0,5733.0,5454.0,2197.0,3329.0,4639.0
