1995.0,2010.0,1950.0,1960.0,1965.0,1965.0,1975.0,2000.0,2085.0
1585.0,1595.0,1540.0,1575.0,1610.0,1530.0,1640.0,1675.0,1670.0
1490.0,1485.0,1450.0,1420.0,1525.0,1445.0,1470.0,1535.0,1505.0
1350.0,1340.0,1370.0,1370.0,1365.0,1440.0,1430.0,1470.0,1575.0
1315.0,1305.0,1345.0,1335.0,1340.0,1380.0,1440.0,1455.0,1545.0
1295.0,1295.0,1375.0,1365.0,1385.0,1425.0,1445.0,1570.0,1570.0
1355.0,1310.0,1390.0,1350.0,1440.0,1435.0,1550.0,1660.0,1695.0
1385.0,1300.0,1365.0,1420.0,1455.0,1510.0,1710.0,1695.0,1890.0
1205.0,1425.0,1455.0,1645.0,1525.0,1680.0,1735.0,1845.0,2020.0
1540.0,1545.0,1610.0,1620.0,1675.0,1750.0,1965.0,2125.0,2325.0
1665.0,1685.0,1720.0,1710.0,1830.0,1975.0,2055.0,2265.0,2610.0
1780.0,1900.0,1930.0,1965.0,2065.0,2230.0,2480.0,2670.0,3230.0
1920.0,2030.0,2190.0,2200.0,2295.0,2545.0,2915.0,3330.0,3905.0
2115.0,2220.0,2395.0,2370.0,2640.0,3095.0,3410.0,4085.0,5035.0
